"Source:","F:\MLAB_G\Moduly_zvlast\GPS02\hw\sch_pcb\GPS02B.kicad_sch"
"Date:","24.11.2021 11:09:11"
"Tool:","Eeschema (5.99.0-13046-g4fe9f01eb0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","64"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"","","C1","1F","GPS02A-rescue:CP-Device","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","5c70984412875079b91f8873"
"","","C2","10uF","GPS02A-rescue:C-Device","Mlab_R:SMD-0805","","5c70984812875079b91f8bbe"
"","","C3","1uF","GPS02A-rescue:C-Device","Mlab_R:SMD-0805","","5c70984712875079b91f8b50"
"","","C4","100nF","GPS02A-rescue:C-Device","Mlab_R:SMD-0805","","5c70984712875079b91f8b4c"
"","","C5","1uF","GPS02A-rescue:C-Device","Mlab_R:SMD-0805","","5c70984712875079b91f8b50"
"","","C6","1uF","GPS02A-rescue:C-Device","Mlab_R:SMD-0805","","5c70984712875079b91f8b50"
"","","C7","47pF","GPS02A-rescue:C-Device","Mlab_R:SMD-0805","","5c70984712875079b91f8b38"
"","","D1","M4","GPS02A-rescue:D_Zener-Device","Diode_SMD:D_SMA","","5c70984512875079b91f88ac"
"","","D2","M4","GPS02A-rescue:D-Device","Diode_SMD:D_SMA","","5c70984512875079b91f88ac"
"","","D3","RED","GPS02A-rescue:LED-Device","Mlab_D:LED_1206","","5c70984412875079b91f8896"
"","","D4","YELLOW","GPS02A-rescue:LED-Device","Mlab_D:LED_1206","","5c70984412875079b91f8897"
"","","D5","YELLOW","GPS02A-rescue:LED-Device","Mlab_D:LED_1206","","5c70984412875079b91f8897"
"","","D6","GREEN","GPS02A-rescue:LED-Device","Mlab_D:LED_1206","","5c70984412875079b91f8895"
"","","F1","750mA","GPS02A-rescue:Fuse-Device","Mlab_F:1812","","5c70984512875079b91f88d2"
"","","J1","HEADER_2x03_PARALLEL","MLAB_HEADER:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"","","J2","USB_B","GPS02A-rescue:USB_B-Connector","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal"," ~","5c70984412875079b91f87a8"
"","","J3","HEADER_2x03_PARALLEL","MLAB_HEADER:HEADER_2x03_PARALLEL","Mlab_Pin_Headers:Straight_2x03","",""
"","","J4","HEADER_2x01_PARALLEL","MLAB_HEADER:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_2x01","",""
"","","J5","HEADER_2x01_PARALLEL","MLAB_HEADER:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_2x01","",""
"","","J6","HEADER_2x01_PARALLEL","MLAB_HEADER:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_2x01","",""
"","","J7","HEADER_2x01_PARALLEL","MLAB_HEADER:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_2x01","",""
